video_id,publish_ts,title,thumbnail_def,thumbnail_mq,thumbnail_hq,channel_title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,thumbnail_location
vQQEaSnQ_bs,2020-09-10T01:36:20Z,Python YouTube API Tutorial: Using OAuth to Access User Accounts,https://i.ytimg.com/vi/vQQEaSnQ_bs/default.jpg,https://i.ytimg.com/vi/vQQEaSnQ_bs/mqdefault.jpg,https://i.ytimg.com/vi/vQQEaSnQ_bs/hqdefault.jpg,Corey Schafer,67425,1639,14,0,268,./thumbnails/vQQEaSnQ_bs.jpg
1KO_HZtHOWI,2020-07-31T01:02:03Z,Python YouTube API Tutorial: Sort a Playlist by Most Popular Videos,https://i.ytimg.com/vi/1KO_HZtHOWI/default.jpg,https://i.ytimg.com/vi/1KO_HZtHOWI/mqdefault.jpg,https://i.ytimg.com/vi/1KO_HZtHOWI/hqdefault.jpg,Corey Schafer,29199,879,4,0,124,./thumbnails/1KO_HZtHOWI.jpg
coZbOM6E47I,2020-06-09T16:32:14Z,Python YouTube API Tutorial: Calculating the Duration of a Playlist,https://i.ytimg.com/vi/coZbOM6E47I/default.jpg,https://i.ytimg.com/vi/coZbOM6E47I/mqdefault.jpg,https://i.ytimg.com/vi/coZbOM6E47I/hqdefault.jpg,Corey Schafer,36327,1249,11,0,163,./thumbnails/coZbOM6E47I.jpg
th5_9woFJmk,2020-05-29T01:19:50Z,Python YouTube API Tutorial: Getting Started - Creating an API Key and Querying the API,https://i.ytimg.com/vi/th5_9woFJmk/default.jpg,https://i.ytimg.com/vi/th5_9woFJmk/mqdefault.jpg,https://i.ytimg.com/vi/th5_9woFJmk/hqdefault.jpg,Corey Schafer,112666,3935,28,0,287,./thumbnails/th5_9woFJmk.jpg
RO6JxDOVwLQ,2020-05-11T05:25:39Z,Python Tutorial: Real World Example - Using Patreon API and Pillow to Automate Image Creation,https://i.ytimg.com/vi/RO6JxDOVwLQ/default.jpg,https://i.ytimg.com/vi/RO6JxDOVwLQ/mqdefault.jpg,https://i.ytimg.com/vi/RO6JxDOVwLQ/hqdefault.jpg,Corey Schafer,29582,798,5,0,82,./thumbnails/RO6JxDOVwLQ.jpg
N6hyN6BW6ao,2020-03-31T23:12:29Z,"Python Pandas Tutorial (Part 11): Reading/Writing Data to Different Sources - Excel, JSON, SQL, Etc",https://i.ytimg.com/vi/N6hyN6BW6ao/default.jpg,https://i.ytimg.com/vi/N6hyN6BW6ao/mqdefault.jpg,https://i.ytimg.com/vi/N6hyN6BW6ao/hqdefault.jpg,Corey Schafer,86998,2593,13,0,246,./thumbnails/N6hyN6BW6ao.jpg
0Q_8taHAuQQ,2020-03-23T18:17:22Z,"Live Stream - Chat, Q&A, Brews, and Coding",https://i.ytimg.com/vi/0Q_8taHAuQQ/default.jpg,https://i.ytimg.com/vi/0Q_8taHAuQQ/mqdefault.jpg,https://i.ytimg.com/vi/0Q_8taHAuQQ/hqdefault.jpg,Corey Schafer,59179,2575,13,0,252,./thumbnails/0Q_8taHAuQQ.jpg
UFuo7EHI8zc,2020-03-17T18:05:18Z,Python Pandas Tutorial (Part 10): Working with Dates and Time Series Data,https://i.ytimg.com/vi/UFuo7EHI8zc/default.jpg,https://i.ytimg.com/vi/UFuo7EHI8zc/mqdefault.jpg,https://i.ytimg.com/vi/UFuo7EHI8zc/hqdefault.jpg,Corey Schafer,131786,3812,17,0,263,./thumbnails/UFuo7EHI8zc.jpg
KdmPHEnPJPs,2020-02-23T21:02:13Z,Python Pandas Tutorial (Part 9): Cleaning Data - Casting Datatypes and Handling Missing Values,https://i.ytimg.com/vi/KdmPHEnPJPs/default.jpg,https://i.ytimg.com/vi/KdmPHEnPJPs/mqdefault.jpg,https://i.ytimg.com/vi/KdmPHEnPJPs/hqdefault.jpg,Corey Schafer,95015,3016,9,0,140,./thumbnails/KdmPHEnPJPs.jpg
txMdrV1Ut64,2020-02-14T04:21:13Z,Python Pandas Tutorial (Part 8): Grouping and Aggregating - Analyzing and Exploring Your Data,https://i.ytimg.com/vi/txMdrV1Ut64/default.jpg,https://i.ytimg.com/vi/txMdrV1Ut64/mqdefault.jpg,https://i.ytimg.com/vi/txMdrV1Ut64/hqdefault.jpg,Corey Schafer,185536,5125,31,0,499,./thumbnails/txMdrV1Ut64.jpg
T11QYVfZoD0,2020-02-05T23:01:00Z,Python Pandas Tutorial (Part 7): Sorting Data,https://i.ytimg.com/vi/T11QYVfZoD0/default.jpg,https://i.ytimg.com/vi/T11QYVfZoD0/mqdefault.jpg,https://i.ytimg.com/vi/T11QYVfZoD0/hqdefault.jpg,Corey Schafer,81085,2935,9,0,146,./thumbnails/T11QYVfZoD0.jpg
HQ6XO9eT-fc,2020-02-01T20:50:39Z,Python Pandas Tutorial (Part 6): Add/Remove Rows and Columns From DataFrames,https://i.ytimg.com/vi/HQ6XO9eT-fc/default.jpg,https://i.ytimg.com/vi/HQ6XO9eT-fc/mqdefault.jpg,https://i.ytimg.com/vi/HQ6XO9eT-fc/hqdefault.jpg,Corey Schafer,129890,3366,22,0,139,./thumbnails/HQ6XO9eT-fc.jpg
DCDe29sIKcE,2020-01-24T06:37:05Z,Python Pandas Tutorial (Part 5): Updating Rows and Columns - Modifying Data Within DataFrames,https://i.ytimg.com/vi/DCDe29sIKcE/default.jpg,https://i.ytimg.com/vi/DCDe29sIKcE/mqdefault.jpg,https://i.ytimg.com/vi/DCDe29sIKcE/hqdefault.jpg,Corey Schafer,177189,4758,26,0,223,./thumbnails/DCDe29sIKcE.jpg
Lw2rlcxScZY,2020-01-16T20:49:20Z,Python Pandas Tutorial (Part 4): Filtering - Using Conditionals to Filter Rows and Columns,https://i.ytimg.com/vi/Lw2rlcxScZY/default.jpg,https://i.ytimg.com/vi/Lw2rlcxScZY/mqdefault.jpg,https://i.ytimg.com/vi/Lw2rlcxScZY/hqdefault.jpg,Corey Schafer,193113,5568,22,0,227,./thumbnails/Lw2rlcxScZY.jpg
W9XjRYFkkyw,2020-01-13T03:26:20Z,"Python Pandas Tutorial (Part 3): Indexes - How to Set, Reset, and Use Indexes",https://i.ytimg.com/vi/W9XjRYFkkyw/default.jpg,https://i.ytimg.com/vi/W9XjRYFkkyw/mqdefault.jpg,https://i.ytimg.com/vi/W9XjRYFkkyw/hqdefault.jpg,Corey Schafer,173418,5038,20,0,133,./thumbnails/W9XjRYFkkyw.jpg
zmdjNSmRXF4,2020-01-10T03:03:19Z,Python Pandas Tutorial (Part 2): DataFrame and Series Basics - Selecting Rows and Columns,https://i.ytimg.com/vi/zmdjNSmRXF4/default.jpg,https://i.ytimg.com/vi/zmdjNSmRXF4/mqdefault.jpg,https://i.ytimg.com/vi/zmdjNSmRXF4/hqdefault.jpg,Corey Schafer,274238,7404,43,0,250,./thumbnails/zmdjNSmRXF4.jpg
ZyhVh-qRZPA,2020-01-08T16:17:05Z,Python Pandas Tutorial (Part 1): Getting Started with Data Analysis - Installation and Loading Data,https://i.ytimg.com/vi/ZyhVh-qRZPA/default.jpg,https://i.ytimg.com/vi/ZyhVh-qRZPA/mqdefault.jpg,https://i.ytimg.com/vi/ZyhVh-qRZPA/hqdefault.jpg,Corey Schafer,558246,10551,88,0,417,./thumbnails/ZyhVh-qRZPA.jpg
z0gguhEmWiY,2019-11-18T22:51:46Z,Python Tutorial: Zip Files - Creating and Extracting Zip Archives,https://i.ytimg.com/vi/z0gguhEmWiY/default.jpg,https://i.ytimg.com/vi/z0gguhEmWiY/mqdefault.jpg,https://i.ytimg.com/vi/z0gguhEmWiY/hqdefault.jpg,Corey Schafer,69172,1365,27,0,113,./thumbnails/z0gguhEmWiY.jpg
_P7X8tMplsw,2019-10-17T04:13:29Z,Python Data Science Tutorial: Analyzing the 2019 Stack Overflow Developer Survey,https://i.ytimg.com/vi/_P7X8tMplsw/default.jpg,https://i.ytimg.com/vi/_P7X8tMplsw/mqdefault.jpg,https://i.ytimg.com/vi/_P7X8tMplsw/hqdefault.jpg,Corey Schafer,43020,1301,4,0,154,./thumbnails/_P7X8tMplsw.jpg
fKl2JW_qrso,2019-09-19T23:08:33Z,Python Multiprocessing Tutorial: Run Code in Parallel Using the Multiprocessing Module,https://i.ytimg.com/vi/fKl2JW_qrso/default.jpg,https://i.ytimg.com/vi/fKl2JW_qrso/mqdefault.jpg,https://i.ytimg.com/vi/fKl2JW_qrso/hqdefault.jpg,Corey Schafer,435621,12883,92,0,748,./thumbnails/fKl2JW_qrso.jpg
IEEhzQoKtQU,2019-09-11T20:06:26Z,Python Threading Tutorial: Run Code Concurrently Using the Threading Module,https://i.ytimg.com/vi/IEEhzQoKtQU/default.jpg,https://i.ytimg.com/vi/IEEhzQoKtQU/mqdefault.jpg,https://i.ytimg.com/vi/IEEhzQoKtQU/hqdefault.jpg,Corey Schafer,470858,13562,95,0,616,./thumbnails/IEEhzQoKtQU.jpg
mO_dS3rXDIs,2019-08-06T15:23:26Z,"Python Quick Tip: The Difference Between ""=="" and ""is"" (Equality vs Identity)",https://i.ytimg.com/vi/mO_dS3rXDIs/default.jpg,https://i.ytimg.com/vi/mO_dS3rXDIs/mqdefault.jpg,https://i.ytimg.com/vi/mO_dS3rXDIs/hqdefault.jpg,Corey Schafer,82234,3084,36,0,190,./thumbnails/mO_dS3rXDIs.jpg
2Fp1N6dof0Y,2019-07-24T16:26:23Z,Python Tutorial: Calling External Commands Using the Subprocess Module,https://i.ytimg.com/vi/2Fp1N6dof0Y/default.jpg,https://i.ytimg.com/vi/2Fp1N6dof0Y/mqdefault.jpg,https://i.ytimg.com/vi/2Fp1N6dof0Y/hqdefault.jpg,Corey Schafer,214915,5859,35,0,327,./thumbnails/2Fp1N6dof0Y.jpg
